gene	transcript	chromosome	start_position	end_position
DUSP15	ENST00000339738	20	30435440	30458550
FCGR3A	ENST00000367969	1	161511549	161600917
SLC14A1	ENST00000436407	18	43304092	43332485
C8orf87	ENST00000521906	8	94146324	94179079
TBCC	ENST00000244625	6	42712219	42714558
CTU2	ENST00000453996	16	88772871	88781794
METTL21B	ENST00000300209	12	58165275	58176324
CREG2	ENST00000324768	2	101962013	102004057
PRELID2	ENST00000334744	5	144851362	145214932
STX10	ENST00000587230	19	13254872	13261197
FCRLB	ENST00000367948	1	161691353	161697933
SERPIND1	ENST00000215727	22	21128167	21142008
MRPL49	ENST00000279242	11	64889655	64894843
OR4D6	ENST00000300127	11	59224411	59225464
DYNLT1	ENST00000367089	6	159057506	159065771
SUCLG2	ENST00000493112	3	67410884	67705038
ASB5	ENST00000296525	4	177134824	177198722
SPATA21	ENST00000335496	1	16713612	16763919
LHPP	ENST00000368842	10	126150403	126306457
RPP25	ENST00000322177	15	75246757	75249805
HHIPL2	ENST00000343410	1	222695602	222721445
NIPAL1	ENST00000295461	4	47916159	48042188
ALG1	ENST00000262374	16	5083703	5137380
NRSN1	ENST00000378491	6	24126350	24155128
CETP	ENST00000200676	16	56995762	57017757
PSMF1	ENST00000335877	20	1093906	1160596
ZNF214	ENST00000278314	11	7020549	7041599
DHRS7C	ENST00000330255	17	9674751	9694614
ECT2L	ENST00000423192	6	139117063	139225207
LCE3E	ENST00000368789	1	152538130	152539248
C1QTNF9B	ENST00000382137	13	24465238	24476794
TMEM190	ENST00000291934	19	55888204	55889612
RABL2B	ENST00000395593	22	51205929	51222091
GNPDA1	ENST00000508177	5	141371314	141392606
HDDC3	ENST00000330334	15	91474148	91475799
NRARP	ENST00000356628	9	140194083	140196703
OR8A1	ENST00000284287	11	124439893	124441037
CYB561D1	ENST00000369868	1	110036674	110045554
SERPINA12	ENST00000341228	14	94953611	94984181
GPR151	ENST00000311104	5	145892666	145895753
PAH	ENST00000553106	12	103230663	103352188
GXYLT2	ENST00000389617	3	72937224	73047289
PTGDR	ENST00000306051	14	52734431	52743442
TRIM49B	ENST00000332682	11	49050504	49059579
B3GNT4	ENST00000324189	12	122688090	122693499
PPIC	ENST00000306442	5	122358945	122372436
C11orf71	ENST00000325636	11	114262165	114271139
CBY1	ENST00000396811	22	39052641	39069859
TMEM217	ENST00000336655	6	37179956	37225931
TMEM74B	ENST00000381894	20	1161205	1166059
ATP5J2	ENST00000292475	7	99046098	99063954
P2RY13	ENST00000325602	3	151044100	151047336
LINC00923	ENST00000503874	15	98285448	98417780
GOLGA6A	ENST00000290438	15	74362198	74374891
CRYGD	ENST00000264376	2	208986331	208989225
EIF4EBP1	ENST00000338825	8	37887859	37917883
FABP2	ENST00000274024	4	120238405	120243545
PIGL	ENST00000225609	17	16120505	16252115
BTG2	ENST00000290551	1	203274619	203278730
SLC52A1	ENST00000424747	17	4935895	4955304
RP11-111M22.2	ENST00000321844	11	76092357	76125663
LGALS9C	ENST00000328114	17	18380051	18398259
NKD2	ENST00000296849	5	1008944	1039058
SLC18B1	ENST00000275227	6	133090509	133119701
MAPK15	ENST00000338033	8	144798429	144804628
KLHDC7B	ENST00000395676	22	50986462	50989451
PCDHA2	ENST00000526136	5	140174444	140391929
RPRML	ENST00000322329	17	45055523	45056614
C19orf10	ENST00000262947	19	4641386	4670382
GDPD3	ENST00000406256	16	30116131	30125177
CKLF	ENST00000264001	16	66586466	66600154
GOLGA8M	ENST00000563027	15	28947100	28983530
C8orf44	ENST00000519561	8	67579850	67597799
NQO1	ENST00000320623	16	69740899	69760854
HDAC10	ENST00000216271	22	50683612	50689834
OR4K15	ENST00000305051	14	20443603	20444818
DYRK4	ENST00000540757	12	4671370	4723325
MS4A7	ENST00000300184	11	60145955	60163424
SPATA4	ENST00000280191	4	177105789	177116822
TIMM23	ENST00000260867	10	51592080	51623365
TRAPPC3L	ENST00000368602	6	116816152	116866773
GPR35	ENST00000438013	2	241544848	241570676
NAMPTL	ENST00000440465	10	36810649	36813162
CTD-2510F5.6	ENST00000577660	17	57274927	57292587
WDR86	ENST00000334493	7	151072995	151107813
TSNAXIP1	ENST00000388833	16	67840668	67866051
ZNF589	ENST00000354698	3	48282590	48340743
DUXA	ENST00000554048	19	57665389	57678811
EAPP	ENST00000250454	14	34985135	35008916
ZNF257	ENST00000594947	19	22235254	22274282
C14orf28	ENST00000325192	14	45366498	45376460
ASB17	ENST00000284142	1	76384558	76398116
OR6C75	ENST00000343399	12	55758895	55759833
CREG1	ENST00000370509	1	167498914	167523004
C6orf229	ENST00000565469	6	24797549	24799117
MICU2	ENST00000382374	13	22066836	22178353
ZNF668	ENST00000417110	16	31072813	31073451
CCDC148	ENST00000283233	2	159027593	159313265
ZHX1-C8ORF76	ENST00000357082	8	124238431	124279627
DNALI1	ENST00000296218	1	38022520	38032458
CD160	ENST00000235933	1	145695798	145715614
OTOR	ENST00000246081	20	16729003	16750707
GGT6	ENST00000574154	17	4460222	4464113
TRIM64C	ENST00000530230	11	49075266	49080664
IFI30	ENST00000407280	19	18283972	18288927
CTU1	ENST00000421832	19	51600863	51611627
GTPBP8	ENST00000383678	3	112709765	112733907
ACPT	ENST00000270593	19	51293672	51298481
HAUS2	ENST00000260372	15	42841008	42862192
TMEM202	ENST00000341689	15	72690614	72700370
DCUN1D2	ENST00000478244	13	114110134	114145267
ZNF611	ENST00000543227	19	53206066	53238326
C9	ENST00000263408	5	39284364	39424970
C15orf38	ENST00000357484	15	90443159	90456188
OR2A2	ENST00000408979	7	143806607	143807657
SMIM7	ENST00000487416	19	16741562	16771253
NKX2-8	ENST00000258829	14	37049784	37051812
ODAM	ENST00000396094	4	71062213	71070293
SLC30A8	ENST00000456015	8	117962512	118188953
FOXB2	ENST00000376708	9	79634571	79635869
SMCO2	ENST00000416383	12	27619743	27655118
DNAH14	ENST00000400952	1	225083964	225586996
C16orf71	ENST00000299320	16	4784273	4799397
OR9A2	ENST00000350513	7	142723245	142724282
EIF2B2	ENST00000266126	14	75469614	75476292
FAM213B	ENST00000419916	1	2517930	2522908
OR2T2	ENST00000342927	1	248616077	248617130
CTRL	ENST00000574481	16	67961543	67966317
EVX1	ENST00000496902	7	27282164	27290112
ZNF66	ENST00000344519	19	20959110	20991922
IFI44L	ENST00000370751	1	79085607	79111830
CXCL17	ENST00000601181	19	42932440	42947200
RGCC	ENST00000379359	13	42031695	42045018
GINS3	ENST00000426538	16	58328984	58440048
PRR18	ENST00000322583	6	166719168	166721936
C11orf54	ENST00000528288	11	93474757	93497915
ITIH6	ENST00000218436	X	54775332	54824673
AP001652.1	ENST00000454512	11	58672897	58676071
MRPL13	ENST00000306185	8	121393000	121457642
PRSS42	ENST00000429665	3	46871032	46875585
ZNF682	ENST00000397165	19	20107867	20150315
CHCHD6	ENST00000290913	3	126423063	126679249
ECHDC1	ENST00000531967	6	127609855	127664754
DPH3	ENST00000488423	3	16299485	16306479
CEACAM3	ENST00000357396	19	42300369	42315591
MNAT1	ENST00000261245	14	61201460	61436671
OR51G1	ENST00000321961	11	4944531	4945637
AC011897.1	ENST00000581929	2	14775215	14790933
CAPN12	ENST00000328867	19	39220827	39260544
ULBP1	ENST00000229708	6	150285143	150294846
FAM162A	ENST00000477892	3	122103023	122131181
CYP4F11	ENST00000402119	19	16023177	16045677
C11orf16	ENST00000326053	11	8941623	8954553
IFNL1	ENST00000333625	19	39786965	39789313
IFI27L1	ENST00000555523	14	94547628	94570192
SRMS	ENST00000217188	20	62172163	62178857
TSSK4	ENST00000339917	14	24674903	24677568
HOXB7	ENST00000239165	17	46684594	46710934
AKR7A2	ENST00000235835	1	19630459	19638640
SLC16A5	ENST00000450736	17	73083822	73102257
RSC1A1	ENST00000345034	1	15986364	15988217
CAMKMT	ENST00000378494	2	44589089	44999731
SLC25A41	ENST00000321510	19	6426048	6433790
KRBOX1	ENST00000446977	3	42850938	43097363
MMP7	ENST00000260227	11	102391239	102401484
COA5	ENST00000328709	2	99215773	99224978
PAQR6	ENST00000335852	1	156213206	156217881
IGFL4	ENST00000377697	19	46543006	46580376
APLN	ENST00000307484	X	128779240	128788933
TAAR8	ENST00000275200	6	132873832	132874860
LPA	ENST00000447678	6	160952515	161087407
RP11-1167A19.2	ENST00000529036	11	65834748	65837090
IL4	ENST00000231449	5	132009678	132018368
OR51S1	ENST00000322101	11	4869427	4870514
MMP13	ENST00000260302	11	102813724	102826463
FANCF	ENST00000327470	11	22644079	22647387
MMP1	ENST00000315274	11	102660651	102668891
ZNF763	ENST00000343949	19	12035890	12091196
NLRP14	ENST00000299481	11	7041677	7092539
KRT15	ENST00000254043	17	39669995	39678781
ZDHHC4	ENST00000396706	7	6617065	6629005
EVA1A	ENST00000233712	2	75696428	75796848
GPR135	ENST00000395116	14	59895740	59932060
KLHDC9	ENST00000368011	1	161068151	161070136
KIAA0825	ENST00000329378	5	93488671	93954309
CEACAM7	ENST00000006724	19	42177235	42210895
DRAXIN	ENST00000294485	1	11751786	11785914
C15orf32	ENST00000333334	15	93014884	93044347
CFL2	ENST00000341223	14	35179593	35184029
LDOC1L	ENST00000341255	22	44888452	44894178
FCN2	ENST00000291744	9	137772654	137779924
ZNF418	ENST00000396147	19	58433252	58446761
C7orf76	ENST00000356686	7	96110938	96132835
PPP1R3D	ENST00000370996	20	58511894	58515352
SNAPC1	ENST00000216294	14	62229075	62263146
IFIT1	ENST00000371804	10	91152303	91163745
OR52H1	ENST00000322653	11	5565719	5566779
ETV7	ENST00000340181	6	36322419	36356164
AC012123.1	ENST00000426194	18	30349758	30354376
CBY3	ENST00000376974	5	179105584	179107975
ACOT1	ENST00000311148	14	74003818	74010498
NANP	ENST00000304788	20	25593571	25604811
APLF	ENST00000303795	2	68694693	68858004
SERTAD3	ENST00000322354	19	40946751	40950612
RBKS	ENST00000302188	2	28004231	28113965
HOXD12	ENST00000406506	2	176964458	176966408
LINC00955	ENST00000514422	4	3578596	3592438
RNF182	ENST00000488300	6	13924677	13980533
FBXW5	ENST00000325285	9	139834887	139839148
WDR83	ENST00000418543	19	12777614	12786646
GPR142	ENST00000335666	17	72363546	72368761
CHEK2	ENST00000382580	22	29083731	29138410
SERPINB2	ENST00000457692	18	61538926	61571124
MICALCL	ENST00000256186	11	12297627	12380691
ASGR2	ENST00000380952	17	7004641	7019019
CFHR1	ENST00000320493	1	196788887	196801319
UGT2A3	ENST00000251566	4	69794181	69817509
FKBP11	ENST00000550765	12	49315301	49320257
DBNDD1	ENST00000304733	16	90071273	90086536
HSD17B14	ENST00000263278	19	49316274	49339935
LGALS14	ENST00000360675	19	40194946	40200084
ASF1B	ENST00000263382	19	14230321	14247768
KRTAP10-10	ENST00000380095	21	46057273	46058370
SLC28A2	ENST00000347644	15	45544428	45568149
SERPINI2	ENST00000476257	3	167159577	167196792
TACSTD2	ENST00000371225	1	59041099	59043166
MPV17L2	ENST00000599612	19	18303992	18307758
TAS2R5	ENST00000247883	7	141490017	141491166
WWOX	ENST00000566780	16	78133310	79246564
TSPO	ENST00000329563	22	43547520	43559248
KIAA0040	ENST00000545251	1	175126123	175162135
TMUB2	ENST00000587989	17	42264338	42269099
KLK9	ENST00000376832	19	51503806	51512890
FAM127A	ENST00000257013	X	134166333	134167576
TNFRSF12A	ENST00000326577	16	3068446	3072384
HOXD11	ENST00000249504	2	176968944	176974722
UGT2A1	ENST00000503640	4	70454135	70518965
TSACC	ENST00000368255	1	156307105	156316786
RTP3	ENST00000296142	3	46538981	46542439
ZNF57	ENST00000306908	19	2900896	2918474
PRADC1	ENST00000258083	2	73455134	73460366
TUBB8	ENST00000309812	10	92828	120103
ALDH3A1	ENST00000457500	17	19641297	19652256
CBR1	ENST00000290349	21	37442239	37445464
BAD	ENST00000394532	11	64037302	64052176
C2orf54	ENST00000388934	2	241825465	241836306
C18orf32	ENST00000318240	18	47008028	47013622
AQP12A	ENST00000337801	2	241631262	241637900
COA3	ENST00000328434	17	40947165	40950722
QPCT	ENST00000338415	2	37571717	37600465
C9orf69	ENST00000418388	9	139006427	139010731
GPR150	ENST00000380007	5	94955782	94957846
MFSD9	ENST00000258436	2	103332299	103353347
PSMG3	ENST00000288607	7	1606966	1610641
HOXA6	ENST00000222728	7	27185015	27190222
AC092687.4	ENST00000418835	2	10987703	10995081
MT3	ENST00000200691	16	56622986	56625000
RCCD1	ENST00000394258	15	91498100	91506349
LTB4R2	ENST00000528054	14	24778161	24781252
NDUFA11	ENST00000418389	19	5891287	5904017
RP1-66C13.4	ENST00000582441	17	26125832	26220391
OR51D1	ENST00000357605	11	4660945	4662068
AC022532.1	ENST00000420338	10	72194585	72196314
C1orf100	ENST00000308105	1	244515937	244552965
TM4SF19	ENST00000273695	3	196046213	196065374
DCTN3	ENST00000259632	9	34613548	34620515
C5orf52	ENST00000409999	5	157098561	157107151
DTYMK	ENST00000305784	2	242615157	242626406
LGALS13	ENST00000221797	19	40093164	40098116
DHDH	ENST00000221403	19	49436939	49448226
LYRM4	ENST00000500576	6	5102827	5261172
B3GNT8	ENST00000321702	19	41931264	41934635
SEPW1	ENST00000601048	19	48281829	48287943
IL11RA	ENST00000555003	9	34650699	34661889
AGMAT	ENST00000375826	1	15898848	15911605
AGPAT2	ENST00000371696	9	139567595	139581875
KRTAP2-2	ENST00000398477	17	39210750	39211482
ZNF77	ENST00000314531	19	2933216	2944969
SMIM4	ENST00000477703	3	52568029	52613253
AP000349.1	ENST00000598975	22	24124467	24126145
SLFN13	ENST00000285013	17	33762115	33775856
CMC2	ENST00000219400	16	81009698	81053875
TREX2	ENST00000330912	X	152710178	152736045
CPNE3	ENST00000521271	8	87497059	87573726
FAM3B	ENST00000357985	21	42676139	42729358
NGB	ENST00000298352	14	77731826	77737655
CABP4	ENST00000325656	11	67219877	67226699
OR2K2	ENST00000302681	9	114089763	114090800
ZDHHC11	ENST00000283441	5	710471	851101
HEBP2	ENST00000607197	6	138724668	138743334
RNF32	ENST00000405335	7	156432975	156469824
DNAJC22	ENST00000549441	12	49740700	49751309
TMEM252	ENST00000377311	9	71151496	71155783
KRBOX1	ENST00000418176	3	42850975	42984284
SMLR1	ENST00000541421	6	131148546	131158275
OR51M1	ENST00000328611	11	5410607	5411664
LETM2	ENST00000523983	8	38243725	38267045
REG1A	ENST00000233735	2	79347488	79350545
COX17	ENST00000261070	3	119373360	119396301
CENPK	ENST00000396679	5	64813593	64858998
CERKL	ENST00000339098	2	182401403	182545392
OR4P4	ENST00000314612	11	55405834	55406772
C14orf23	ENST00000399387	14	29241910	29282493
FAM25A	ENST00000343959	10	88780063	88784487
CYP24A1	ENST00000216862	20	52769988	52790512
COX7A2	ENST00000370081	6	75947391	75960039
RPS6KB2	ENST00000312629	11	67195931	67202872
TARM1	ENST00000432826	19	54573149	54584634
PRAMEF10	ENST00000235347	1	12952727	12958101
ADRB1	ENST00000369295	10	115803806	115806667
CCDC134	ENST00000255784	22	42196683	42222303
GPR3	ENST00000374024	1	27719148	27722318
C1orf227	ENST00000332912	1	213003483	213020991
SULT1A1	ENST00000395609	16	28616903	28634946
SLC22A10	ENST00000332793	11	62905339	63137190
PLEKHG7	ENST00000344636	12	93115281	93166231
NRIP2	ENST00000337508	12	2934514	2944710
FN3KRP	ENST00000269373	17	80674559	80688204
ZNF596	ENST00000398612	8	182137	197342
AC016251.1	ENST00000378936	15	96831280	96831660
RAB3D	ENST00000222120	19	11432722	11456946
TEX33	ENST00000405091	22	37387163	37403882
GLTPD2	ENST00000331264	17	4692254	4693685
OR6X1	ENST00000327930	11	123624196	123625253
EFCAB2	ENST00000366523	1	245133007	245290466
TPD52L3	ENST00000344545	9	6328349	6331900
NKX2-4	ENST00000351817	20	21376005	21378666
NLRX1	ENST00000409109	11	119037277	119054725
C2CD4A	ENST00000355522	15	62359176	62363116
SLCO1B3	ENST00000381545	12	20963636	21243040
GSTM5	ENST00000256593	1	110254864	110318050
SERPINA11	ENST00000334708	14	94908801	94919127
IL17D	ENST00000304920	13	21276266	21297237
LGALS1	ENST00000215909	22	38071615	38075813
IL24	ENST00000391929	1	207070788	207077484
OBP2B	ENST00000372034	9	136080664	136084630
SLC10A6	ENST00000273905	4	87744621	87770416
GNAT1	ENST00000232461	3	50229045	50233949
S100A7	ENST00000368723	1	153430220	153433177
PDRG1	ENST00000202017	20	30532758	30539895
CALML4	ENST00000467889	15	68483043	68498417
TES	ENST00000358204	7	115850547	115898837
SAT2	ENST00000269298	17	7529552	7531194
C14orf159	ENST00000518868	14	91526677	91691976
IFIH1	ENST00000263642	2	163123589	163175213
MTHFS	ENST00000258874	15	80125927	80189721
MOGAT1	ENST00000446656	2	223536505	223574649
AC005003.1	ENST00000504184	22	31742875	31744670
FIS1	ENST00000223136	7	100882739	100895597
BAALC	ENST00000309982	8	104152938	104242533
TPRX2P	ENST00000535362	19	48337701	48364769
ABCG2	ENST00000237612	4	89011416	89152474
OR52E6	ENST00000329322	11	5862158	5863182
ARSF	ENST00000381127	X	2959512	3030767
ISOC2	ENST00000085068	19	55964352	55973710
MEF2BNB	ENST00000462790	19	19287712	19303400
UCP2	ENST00000310473	11	73685712	73694352
THTPA	ENST00000288014	14	24025216	24029480
IRAK3	ENST00000261233	12	66582659	66648402
RASSF4	ENST00000340258	10	45454855	45491339
GTPBP6	ENST00000326153	X	220025	230886
CASP5	ENST00000393141	11	104864962	104893895
BET1L	ENST00000382762	11	167784	207428
ATP5L	ENST00000300688	11	118271869	118302211
C20orf62	ENST00000372910	20	43080624	43093984
DNAJC5G	ENST00000296097	2	27498289	27504367
TMEM141	ENST00000290079	9	139685807	139687709
C18orf21	ENST00000592875	18	33552046	33559241
ZNF470	ENST00000330619	19	57078880	57100279
ROPN1L	ENST00000503804	5	10441636	10472141
TMEM95	ENST00000330767	17	7258442	7260538
SNX20	ENST00000330943	16	50700211	50715264
C12orf54	ENST00000314014	12	48876286	48890295
NRIP3	ENST00000309166	11	9002123	9025596
C14orf180	ENST00000557649	14	105046021	105056852
BHLHE23	ENST00000370346	20	61637331	61638387
C1orf158	ENST00000288048	1	12806163	12823847
CAMP	ENST00000296435	3	48264837	48266981
PLP2	ENST00000376327	X	49028273	49031588
OASL	ENST00000257570	12	121458095	121477045
HOXC5	ENST00000312492	12	54426637	54429142
FITM2	ENST00000396825	20	42931478	42939809
LRIT2	ENST00000372113	10	85980254	85985345
RAB25	ENST00000361084	1	156030951	156040295
TIMM13	ENST00000215570	19	2425622	2427892
SPATA3	ENST00000452881	2	231860836	231889770
OR1K1	ENST00000277309	9	125562370	125563395
GOLGA8G	ENST00000525590	15	28764757	28778160
PPP1R14B	ENST00000309318	11	64011956	64014413
NINJ2	ENST00000305108	12	673462	772945
TEKT4	ENST00000295201	2	95537178	95542574
APOL4	ENST00000352371	22	36585172	36600886
ZNF267	ENST00000300870	16	31885079	31928668
C1orf95	ENST00000366788	1	226736501	226796915
MIXL1	ENST00000366810	1	226411319	226414755
CIB4	ENST00000288861	2	26804070	26864236
CXCR6	ENST00000458629	3	45982425	45989845
TMEM52B	ENST00000298530	12	10323141	10344400
AL589765.1	ENST00000442233	1	151682909	151702070
WFDC13	ENST00000305479	20	44330655	44337456
KLF16	ENST00000250916	19	1852399	1863567
UCN	ENST00000296099	2	27530268	27531313
HRASLS	ENST00000264735	3	192958914	192995527
TXNL4B	ENST00000268483	16	72078188	72128330
RMDN2	ENST00000234195	2	38150330	38294285
PLN	ENST00000357525	6	118869461	118881893
LGSN	ENST00000370657	6	63985856	64029882
ZNF277	ENST00000361822	7	111846643	111983151
BCAS4	ENST00000358791	20	49411431	49493714
TNFRSF10A	ENST00000221132	8	23047965	23082639
GPR132	ENST00000329797	14	105515728	105531782
CCDC160	ENST00000517294	X	133371077	133380237
OR8G5	ENST00000524943	11	124134723	124135763
TMEM25	ENST00000313236	11	118401756	118417995
MFNG	ENST00000356998	22	37865101	37882439
XKR9	ENST00000408926	8	71581600	71702606
RP11-934B9.3	ENST00000555591	14	24801516	24806588
ARHGAP11B	ENST00000428041	15	30916697	31065196
C14orf183	ENST00000305273	14	50550369	50559361
EMP3	ENST00000270221	19	48824766	48833810
C19orf81	ENST00000425202	19	51152702	51162567
PPP1R17	ENST00000342032	7	31726329	31748069
OR10G8	ENST00000431524	11	123900297	123901341
UBB	ENST00000302182	17	16284112	16286059
TOMM6	ENST00000398884	6	41755400	41757636
RPL22L1	ENST00000295830	3	170582664	170588272
TRMU	ENST00000290846	22	46726772	46753237
GNGT2	ENST00000511277	17	47280153	47287936
RNF148	ENST00000434824	7	122341718	122343021
GJA9	ENST00000357771	1	39330175	39347289
SIGLEC11	ENST00000447370	19	50452242	50464429
KRT82	ENST00000257974	12	52787715	52800139
GPX6	ENST00000361902	6	28471073	28495992
ADH5	ENST00000296412	4	99992132	100009952
FAM194A	ENST00000295910	3	150377672	150421758
SLFN11	ENST00000394566	17	33677324	33700720
OR11H6	ENST00000315519	14	20691791	20692964
AGAP6	ENST00000412531	10	51748078	51770259
TPGS1	ENST00000359315	19	507299	519654
MSRB2	ENST00000376510	10	23384435	23410942
TSGA13	ENST00000456951	7	130353488	130372268
TAS1R3	ENST00000339381	1	1266694	1270686
MRPS21	ENST00000369084	1	150266289	150281414
NME4	ENST00000219479	16	446725	460367
MZT2B	ENST00000281871	2	130939310	130948302
TUBA3D	ENST00000321253	2	132233666	132240507
TRIM58	ENST00000366481	1	248020501	248041507
LRIT1	ENST00000372105	10	85991349	86001217
TCTEX1D1	ENST00000282670	1	67218142	67244470
AC073343.1	ENST00000544825	7	6713376	6715991
TMCO2	ENST00000372766	1	40711619	40717363
NRSN2	ENST00000382291	20	327426	340304
KLK14	ENST00000391802	19	51580752	51587502
SWSAP1	ENST00000312423	19	11485361	11487627
ZSCAN32	ENST00000304926	16	3432085	3451065
ST8SIA6	ENST00000377602	10	17360382	17496329
ZNF799	ENST00000430385	19	12500830	12512085
FAM127B	ENST00000370775	X	134184962	134186226
STOML1	ENST00000316900	15	74275547	74286963
TMEM239	ENST00000380585	20	2795614	2800930
VNN2	ENST00000326499	6	133065009	133084598
IRF7	ENST00000397566	11	612553	615999
CD300LD	ENST00000375352	17	72575504	72588422
GYG2	ENST00000381163	X	2746829	2800859
KCNJ14	ENST00000391884	19	48958766	48969367
HLA-DPA1	ENST00000419277	6	33032346	33048552
ADAM18	ENST00000265707	8	39442008	39587583
EPGN	ENST00000413830	4	75174190	75181024
AQP2	ENST00000199280	12	50344524	50352664
GRXCR2	ENST00000377976	5	145239296	145252531
PBLD	ENST00000358769	10	70042417	70092806
NPPC	ENST00000409852	2	232786530	232791113
SMIM13	ENST00000416247	6	11094266	11138964
PLA2G5	ENST00000375108	1	20354672	20417683
POMK	ENST00000331373	8	42948658	42978577
ADAT2	ENST00000237283	6	143743969	143771810
ACTL7B	ENST00000374667	9	111616871	111619239
NKX6-3	ENST00000524115	8	41502697	41508855
CLEC4D	ENST00000299665	12	8662071	8674962
GOLGA8Q	ENST00000562783	15	30844183	30854704
BBIP1	ENST00000454061	10	112658488	112679032
CD300C	ENST00000330793	17	72537247	72542282
EREG	ENST00000244869	4	75230860	75254468
CYB5R2	ENST00000533558	11	7686331	7698453
C17orf58	ENST00000449250	17	65987217	65989765
PROKR2	ENST00000546004	20	5282317	5297378
FTSJ2	ENST00000242257	7	2273866	2281840
CYP11B2	ENST00000323110	8	143991975	143999259
HENMT1	ENST00000370032	1	109190912	109204148
PCDHA4	ENST00000530339	5	140186659	140391929
N6AMT2	ENST00000382758	13	21302870	21348097
OR5AP2	ENST00000302981	11	56408942	56409947
TEX9	ENST00000352903	15	56536207	56738195
RAMP3	ENST00000242249	7	45197390	45225901
C10orf35	ENST00000373279	10	71390007	71393352
HIGD2A	ENST00000274787	5	175815748	175816772
OR2A25	ENST00000408898	7	143771275	143772288
OR52A1	ENST00000380367	11	5172239	5207612
FDFT1	ENST00000220584	8	11653082	11696818
C5orf60	ENST00000448248	5	179068545	179072047
FAM180A	ENST00000338588	7	135413096	135433594
UBL5	ENST00000358666	19	9938568	9940791
CD164L2	ENST00000374027	1	27705666	27709870
TAF8	ENST00000372977	6	42018251	42055199
B9D2	ENST00000243578	19	41860326	41870078
RASSF7	ENST00000397583	11	560404	564021
HSPB7	ENST00000311890	1	16340523	16346089
RP1-139D8.6	ENST00000372963	6	42123279	42131156
TMEM215	ENST00000342743	9	32783497	32787397
CASQ1	ENST00000368078	1	160160285	160171676
ASIP	ENST00000568305	20	32782375	32857150
CEACAM19	ENST00000403660	19	45165545	45187631
AKIP1	ENST00000309377	11	8932686	8941631
C7orf57	ENST00000348904	7	48075108	48100901
OR2AG2	ENST00000338569	11	6789218	6790286
PPP1R14D	ENST00000427255	15	41107650	41120907
ZNF544	ENST00000269829	19	58739960	58788815
IQCE	ENST00000402050	7	2598632	2654368
C1orf110	ENST00000367910	1	162794248	162838605
MLN	ENST00000430124	6	33762450	33771788
THUMPD1	ENST00000381337	16	20744986	20753406
CTC-260F20.3	ENST00000555938	19	19627036	19646885
C1orf54	ENST00000369102	1	150240600	150253327
SYNGR2	ENST00000225777	17	76164639	76169608
FAM71E1	ENST00000595790	19	50970042	50980010
ZNF492	ENST00000456783	19	22817126	22850472
TMEM186	ENST00000333050	16	8874241	8891505
ZNHIT1	ENST00000305105	7	100860949	100867471
CES5A	ENST00000521992	16	55880066	55989943
C3orf80	ENST00000326474	3	159943423	159945999
CLDN8	ENST00000399899	21	31586324	31588391
S100A7L2	ENST00000368725	1	153409534	153412425
MSMB	ENST00000358559	10	51549498	51562517
CTD-3214H19.16	ENST00000597959	19	7743387	7747740
AUNIP	ENST00000374298	1	26158414	26185903
CSRP2	ENST00000311083	12	77252495	77272840
SLC22A25	ENST00000306494	11	62931248	62997124
RPL26L1	ENST00000521476	5	172385732	172396774
C12orf56	ENST00000333722	12	64660217	64784972
AC002310.13	ENST00000568114	16	30545548	30569600
OR3A2	ENST00000408891	17	3181193	3182268
LYZL6	ENST00000585556	17	34261522	34270703
IL15RA	ENST00000379977	10	5990855	6020150
AC021218.2	ENST00000377722	7	155755326	155759037
AL354898.1	ENST00000277491	9	133274029	133282639
NXPE4	ENST00000375478	11	114441313	114466484
SRRD	ENST00000215917	22	26879843	26890624
DNMT3A	ENST00000264709	2	25455845	25565459
GABARAPL2	ENST00000037243	16	75600249	75611779
AL441883.1	ENST00000600057	6	13615728	13621126
DPPA5	ENST00000370370	6	74062785	74064018
COQ4	ENST00000300452	9	131084815	131096351
OR2L13	ENST00000366478	1	248100493	248264224
NDUFAF7	ENST00000002125	2	37458774	37480546
ABHD12B	ENST00000337334	14	51338878	51371688
AGR2	ENST00000419304	7	16831435	16873057
C2orf70	ENST00000329615	2	26785450	26802400
CRIPT	ENST00000238892	2	46843555	46852881
CHMP4A	ENST00000347519	14	24678789	24683075
COX6A2	ENST00000287490	16	31439052	31439967
CYP2A7	ENST00000301146	19	41381344	41388657
DNAJC5B	ENST00000276570	8	66933795	67012751
SMPD2	ENST00000258052	6	109761966	109765122
PRCD	ENST00000586148	17	74523668	74549660
C1orf105	ENST00000367727	1	172389828	172437971
KRT74	ENST00000305620	12	52959566	52967609
TSLP	ENST00000344895	5	110405760	110413722
DHRS4L2	ENST00000335125	14	24439148	24475617
TOMM20L	ENST00000360945	14	58862634	58875419
CLDN6	ENST00000396925	16	3064713	3070072
PTGER1	ENST00000292513	19	14583278	14586174
TATDN1	ENST00000276692	8	125500726	125551699
YIF1A	ENST00000376901	11	66052051	66056641
FMO3	ENST00000367755	1	171060018	171086959
GNG5	ENST00000370641	1	84964008	84972248
TMIGD2	ENST00000301272	19	4292229	4302428
KLF14	ENST00000310992	7	130417401	130418888
PGBD2	ENST00000329291	1	249200395	249214145
GPR84	ENST00000551809	12	54756229	54758271
SULT1A2	ENST00000395630	16	28603264	28608430
